"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"South End","Boston","MA","Boston","Suffolk",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77696078431373,4.375,4.375,4.45963334203996,4.22981788529492,4.30769230769231,4.50447599938262,4.68593770406164,4.88848039215686,4.875,4.65,4.64186420836992,4.96023856858847,4.22751322751323,4.73137094551952
"Financial District","New York","NY","New York","New York",12,,4.25925925925926,4.28346456692913,4.43583118001723,4.44282150722039,4.42857142857143,4.54159592529711,4.42857142857143,4.46428571428571,4.6814344192393,4.66606822262118,4.62794918330309,4.59016393442623,4.66636744464393,4.66281185031185,4.64486356340289,4.63235294117647,4.73348928526672,4.795,4.84094155457684,4.85433756166314,4.83306836248013,4.77517985611511,4.76190476190476,4.77830188679245,4.80320699708455,4.85305755395683,4.86510791366906,4.89583333333333,4.89637305699482,4.92463916856649,4.81964285714286,4.85251798561151,4.86510791366906,4.87078188452104,4.90062836624776,4.9,4.91935483870968,4.89800943286577,4.86928104575163,4.87683215130024,5.01930208410591,5.06363636363636,5.01455097237706,4.97003727963312,4.99642857142857,5.04587155963303,5.00418060200669,5.00873433606862,5.10771992818671,5.19300750690691,5.20161290322581,5.15029487282356,5.13120567375887,5.16500302480339,5.0945179584121,5.08637236084453,4.95080976553058,4.80283862621438,4.90755517826825,4.95682094788087,5.02732240437158,5.05113636363636,4.95704467353952,5.07662835249042
"Flatiron District","New York","NY","New York","New York",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61320754716981,6.49797119091094,6.50537634408602,6.68161434977578,6.4031938598663,6.40045592705167,6.56819421713039,6.55128205128205,6.59533073929961,6.5492259313014,6.37234042553191,6.5492259313014,6.49171270718232,6.39749617961679,6.33268482490272,6.31355382619974,6.1505376344086,6.33364427860696,6.37879316358563,6.54716981132075,6.66713770710078,6.52358490566038,6.27797947908445,6.32151047638903
"University District","Seattle","WA","Seattle","King",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85583062950946,2.95639701663798,2.9,2.92321428571429,2.83928571428571,2.85932499272621,2.95962925886292,2.96645333708418,3.13993363599761,2.93674698795181,2.98013245033113,2.92439024390244,2.87236570170013,2.98013245033113,3.14115349052242,2.89427844030551
"Flamingo Lummus","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",15,,,,,,,,,,,,,,,,,,,,,,,,2.81972369927255,2.64285714285714,2.66666666666667,2.68971631205674,2.75,2.78293135435993,2.85676678533821,2.82377966201496,2.75797872340426,2.63888888888889,2.58928571428571,2.63157894736842,2.70833333333333,2.6765873015873,2.63157894736842,2.67550295311923,2.81358000294128,2.77186761229314,2.77832756061356,2.83950617283951,2.84832451499118,2.9,2.80720338983051,2.75,2.71109006983075,2.69736842105263,2.83587509077705,2.999,2.99145299145299,2.85714285714286,2.94659300184162,2.8742816091954,2.78769841269841,2.9,2.88888888888889,2.725,2.88888888888889,3.02325581395349,3.15533625730994,2.99082568807339,3.02325581395349,2.90277777777778
"Edgewater Beach","Chicago","IL","Chicago","Cook",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80284090909091,1.7875,1.70684466641055,1.67368421052632,1.69102990033223,1.7375,1.68354328165375,1.75,1.75,1.78223039215686,1.76666666666667,1.74722222222222,1.84141156462585,1.87022900763359,1.89922480620155,1.77696078431373,1.74418604651163,1.69210526315789,1.72222222222222,1.825,1.84536082474227,1.86046511627907,1.875,1.86046511627907,1.85555555555556,1.875,1.86636450381679,1.84210526315789,1.8,1.81818181818182,1.8625,1.8625,1.87022900763359,1.86636450381679,1.8625
"West Village","New York","NY","New York","New York",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34615384615385,6.34499884499884,6.2514220705347,6.14270833333333,6.13276949541284,6.21666666666667,6.1787072243346,6.14678899082569,6.44283121597096,6.25071103526735,6.11111111111111,6,6,5.99375,6,6.11875,6.1787072243346,6,6.09270833333333,6,6.06274509803922,6.06274509803922,5.98330241187384,6
"Kew Gardens","New York","NY","New York","Queens",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13333333333333,3.13333333333333,3.17269736842105,3.15789473684211,3.22222222222222,2.85582329317269,2.68181818181818,2.76363636363636,2.58333333333333,2.61607142857143,2.78579610538373,2.85996055226824,2.88102922718307,2.85104895104895,3.03125,2.90727272727273,2.96245059288538,3.02505219206681
"Brickell","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08529945553539,3.00501672240803,3.08529945553539,2.93103448275862,2.89634146341463,2.7832608228596,3.07998501327282,3.07467057101025,3.07467057101025,3.04775195217179,3.12439070441313,3.0352285774894,3.12439070441313,3.17604355716878,3.125,3.26678765880218,3.26678765880218,3.28125,3.4588318085855,3.27273809169617,3.26678765880218,3.43699930337861,3.31905326358647,3.28902296847394,3.15740740740741,3.18965517241379,3.13862876254181,3.1,3,3.34816672860151,3.17725752508361,3.3112582781457
"Near North","Chicago","IL","Chicago","Cook",20,2.31,2.27354978354978,2.33333333333333,2.32778702163062,2.27777777777778,2.33194444444444,2.34077380952381,2.35912698412698,2.36656100309946,2.3555829228243,2.36883629191321,2.37715517241379,2.37143364983258,2.39230769230769,2.50078125,2.60634412324736,2.49665280963303,2.61886289324148,2.74038631933369,2.62804242886179,2.58920289855072,2.55481651376147,2.54145359019264,2.57642998027613,2.61229674796748,2.671875,2.71972789115646,2.76330275229358,2.71793889730115,2.74084928229665,2.74746376811594,2.7120315581854,2.66363636363636,2.652,2.64093820321966,2.62857142857143,2.7037037037037,2.7308562599681,2.79449541284404,2.79851851851852,2.89963167587477,2.98013245033113,2.82195845697329,2.96261682242991,2.85630389249022,2.72386587771203,2.68213197059351,2.68592592592593,2.77309782608696,2.76351351351351,2.70504826560542,2.72745215311005,2.75045871559633,2.75485898742779,2.72386587771203,2.72064853518629,2.7447247706422,2.72386587771203,2.69230769230769,2.72386587771203,2.76666666666667,2.7037037037037,2.7120315581854,2.76788990825688,2.70786763094455
