z_hood,mean_zri
343877,917.202702703
403546,991.337837838
113036,1718.2027027
204189,672.959459459
270102,1174.45945946
235286,1030.04054054
271622,1282.44594595
197303,1950.85245902
271990,2402.82432432
268537,1577.58108108
268970,1323.0
251473,1592.90540541
228163,2024.7027027
275109,841.081081081
268778,1231.09459459
271252,1017.94594595
268338,4439.95945946
271057,806.445945946
268220,3873.01351351
154235,2607.28378378
268247,2173.60810811
251240,1841.33783784
271391,1204.63513514
236490,1093.44594595
271158,1262.16216216
272887,1417.66216216
254627,3154.02702703
270077,940.403508772
275830,1431.43243243
276063,871.743243243
269087,1116.2027027
272991,2054.86486486
121668,2696.37837838
343223,1674.75409836
268384,3274.64864865
403540,1004.83783784
273875,1540.15492958
268001,2552.81081081
273873,1913.36486486
269596,1486.2027027
268133,1381.13513514
273086,1310.95945946
274910,933.864864865
269603,1419.16216216
114961,1878.64864865
269381,1552.31081081
271652,1491.44594595
271615,3672.13513514
269015,2031.83783784
121806,1779.55405405
247231,1333.98648649
113657,2468.98648649
250788,1877.60810811
623421,3387.94594595
270164,1310.89189189
207230,1346.31081081
403112,1148.31081081
121754,2740.72972973
137841,1447.87837838
269720,1414.05263158
738031,1344.05405405
274425,2086.85135135
417895,1336.17567568
271020,856.054054054
273417,976.094594595
273519,735.594594595
343487,946.837837838
15191,1044.01351351
46015,2297.86486486
270034,783.445945946
269995,864.701754386
268919,1152.58108108
403356,1268.89189189
272733,2157.33783784
200574,827.108108108
271458,1548.71621622
22899,1990.58108108
273782,939.851351351
342769,1189.86486486
252248,2402.90540541
273256,763.364864865
201557,679.824324324
272010,1264.55405405
274529,961.5
343218,1812.04918033
276165,1971.7972973
269613,1325.37837838
403141,1747.95945946
273611,2631.0
274612,1621.51351351
274206,3342.83783784
623422,3601.78378378
200981,763.756756757
268784,1043.28378378
403303,2034.91891892
271018,744.283783784
270175,1234.10810811
15126,1066.40540541
210094,1284.0
272908,1235.48648649
273252,2018.59459459
14041,1406.91891892
268287,1690.36486486
